"","Echantillon","TMG","Ecart.type.TMG","Zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"1","A009",165.3,31.0688539249603,2,7.5,10.5,11.5,5.75,3.75,18,52.5
"2","A010",165.285714285714,33.7803831493114,3,12,8.25,5.25,4.5,16.5,36.75,8.25
"3","A011",152.599378881987,22.3067873880619,2,11.625,13.6875,4.3125,3,8.75,8.75,9.5
"5","A012",164.592391304348,28.9619896171355,1,12.6,7.125,7.275,16.3125,8.4375,6.75,26.5
"7","A013",166.461818181818,34.3834562414492,3,3.5,5.125,6.75,7.6875,12.4375,29.375,11.625
"9","A014",179.762608695652,25.3428982034702,2,11.875,8.25,3.5,8.25,4.5,7.25,11.5
"11","A015",178.114624505929,28.7094693672457,4,8.25,9.75,13.5,7.625,6.625,12.375,6.375
"13","A016",172.5625,25.1334483556618,2,5.5,6.875,4.875,4.75,6.5,9,7.5
"15","A017",167.23,34.0977748796565,2,7.5,9,6,10.875,4.125,18,20.25
"17","A018",157.304347826087,35.1586466574385,1,12.75,7.5,3.5,3.25,12.75,28.5,25.5
"18","A019",177.678853754941,24.5174684281303,1,4.125,5.4,3,6.6,9.75,5.625,29.625
"20","A020",169.0625,30.1903188266775,1,6.5,6.5,4.5,18.375,10.875,8.625,10.125
"22","A021",153.755681818182,23.1228899852997,1,3.5,8.5,6.25,10.25,7.5,6,7
"24","A022",163.32,31.7771785031359,1,9.375,9.375,3.875,6.625,7.125,15.375,19.375
"26","A023",146.235,23.3827000469759,3,4.375,2.625,3.125,5.625,8.625,12,30
"28","A024",162.394409937888,28.7787534395024,3,7.5,8.625,5.625,3.75,5.25,11.25,28.5
"30","A025",154.205357142857,28.2291657973952,1,4.125,3.5,5.5,7.5,10.5,21,12
"32","A026",159.0625,23.4134423618879,4,10.375,4.82142857142857,4.28571428571428,2.22321428571429,2.04464285714286,5.375,19.5
"34","A027",170.243506493507,30.9388155236675,2,13.25,3.625,7.875,17.25,15,15.375,4.875
"36","A028",158.455357142857,32.7456782445933,4,7.875,8.125,2.375,5.125,12.125,27.375,7.125
"38","A029",172.26,22.9927544353038,1,15,11.8125,3.0625,4.25,1.875,5,3.25
"40","A030",148.38,22.5071169587975,2,5,4,9,4.125,3.875,14.5,18
"42","A031",165.082857142857,34.1512388375514,2,4.5,10.125,5.625,8.25,6.75,17.25,12
"44","A032",162.059782608696,29.152049564408,1,4.875,10.125,8.25,3,5.625,10.125,19.875
"46","A033",140.9925,22.62161723737,4,4,5.9375,2.4375,3.5625,6.5625,8,9
"48","A034",164.392045454545,32.7147260932651,2,10.625,11,6.5,8.625,15.375,9.75,18.75
"50","A035",153.677018633541,27.030565360443,4,8.625,4.125,5.125,6,15.5,21.375,10.125
"52","A036",165.028695652174,27.3853963374455,2,4.125,7.125,4.125,6.75,6.75,10.5,13
"54","A038",143.026785714285,18.5768837024036,4,4.875,4.5,5,3.70000000000001,3,10.425,6.375
"56","A039",148.071428571428,23.3475873740032,1,4.125,3.625,4.375,5.375,5.125,14.375,13.125
"58","A040",146.869565217391,22.1997994570467,1,4.375,10.4375,3.1875,7.875,5.25,10.875,10.875
"60","A041",142.959627329193,18.5594277801186,3,4.875,8.875,3.125,2.8125,3.9375,6.5,7
"62","A042",163.9825,27.9617928818328,3,8.625,3.8125,3.1875,8.0625,6.9375,7.125,10.875
