"","Echantillon","TMG","Ecart-type TMG","Zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"1","A009",165.3,31.0688539249603,"2",7.5,10.5,11.5,5.75,3.75,18,52.5
"2","A010",165.285714285714,33.7803831493114,"3",12,8.25,5.25,4.5,16.5,36.75,8.25
"3","A011",157.285714285714,13.6680022576193,"2",16.5,7.875,2.125,3.5,5.5,2.5,2.5
"4","A011",147.913043478261,30.9455725185046,"2",6.75,19.5,6.5,2.5,12,15,16.5
"5","A012",159.75,21.6086605444742,"1",20.7,1.5,9.30000000000001,7.125,1.875,7.5,34.5
"6","A012",169.434782608696,36.3153186897968,"1",4.5,12.75,5.25,25.5,15,6,18.5
"7","A013",169.56,33.5647136141514,"3",3.25,2.75,3,1.875,11.375,21.25,18.75
"8","A013",163.363636363636,35.2021988687469,"3",3.75,7.5,10.5,13.5,13.5,37.5,4.5
"9","A014",189.96,28.6799581589653,"2",15.5,2.5,4.5,5.25,5.25,9,13.5
"10","A014",169.565217391304,22.0058382479752,"2",8.25,14,2.5,11.25,3.75,5.5,9.5
"11","A015",186.272727272727,33.6482955319849,"4",12.75,10.5,13.5,9.75,6.75,21,4.5
"12","A015",169.95652173913,23.7706432025065,"4",3.75,9,13.5,5.5,6.5,3.75,8.25
"13","A016",172,26.357079735318,"2",7.5,10.5,6,6,10.5,7.5,4.5
"14","A016",173.125,23.9098169760056,"2",3.5,3.25,3.75,3.5,2.5,10.5,10.5
"15","A017",171.5,38.3745839801837,"2",10.5,5.25,3.75,13.5,4.5,19.5,28.5
"16","A017",162.96,29.8209657791293,"2",4.5,12.75,8.25,8.25,3.75,16.5,12
"17","A018",157.304347826087,35.1586466574385,"1",12.75,7.5,3.5,3.25,12.75,28.5,25.5
"18","A019",184.227272727273,32.7413119238296,"1",3.75,7.5,4.5,10.5,10.5,7.5,43.5
"19","A019",171.130434782609,16.2936249324309,"1",4.5,3.30000000000001,1.5,2.69999999999999,9,3.75,15.75
"20","A020",176.125,41.611361847248,"1",6.5,7.75,5.25,26.25,12.75,10.5,16.5
"21","A020",162,18.769275806107,"1",6.5,5.25,3.75,10.5,9,6.75,3.75
"22","A021",160.636363636364,21.7858526714788,"1",3.25,3.5,9.5,12.25,11.25,6,6.5
"23","A021",146.875,24.4599272991205,"1",3.75,13.5,3,8.25,3.75,6,7.5
"24","A022",161.64,34.4817342951308,"1",15,6,4.5,10.5,6,5.25,26.25
"25","A022",165,29.0726227111409,"1",3.75,12.75,3.25,2.75,8.25,25.5,12.5
"26","A023",163.32,25.0561369728056,"3",5.5,2.5,2.5,7.5,10.5,7.5,13.5
"27","A023",129.15,21.7092631211462,"3",3.25,2.75,3.75,3.75,6.75,16.5,46.5
"28","A024",166.571428571429,27.4728437344433,"3",7.5,9.75,6.75,3.75,6.75,7.5,34.5
"29","A024",158.217391304348,30.0846631445615,"3",7.5,7.5,4.5,3.75,3.75,15,22.5
"30","A025",171.285714285714,26.9650567534037,"1",4.5,4.5,6,3,10.5,31.5,16.5
"31","A025",137.125,29.4932748413866,"1",3.75,2.5,5,12,10.5,10.5,7.5
"32","A026",180.125,26.9271359816434,"4",18.75,6.64285714285714,1.07142857142856,1.07142857142858,2.21428571428572,8.5,34.5
"33","A026",138,19.8997487421324,"4",2,3,7.5,3.375,1.875,2.25,4.5
