Echantillon;Répétition;Echantillon_Repétition;TMG;Ecart-type TMG;T10;T20;T30;T40;T50;T60;T70;T80;T90
1301;1;1301_1;185,677419354839;23,1752122500119;154,5;167,25;175,2;181,2;187,125;195,6;201,75;210;229,5
1301;1;1301_1;185,677419354839;23,1752122500119;154,5;167,25;175,2;181,2;187,125;195,6;201,75;210;229,5
1301;1;1301_1;185,677419354839;23,1752122500119;154,5;167,25;175,2;181,2;187,125;195,6;201,75;210;229,5
1301;1;1301_1;185,677419354839;23,1752122500119;154,5;167,25;175,2;181,2;187,125;195,6;201,75;210;229,5
1301;2;1301_2;188,370786516854;20,2705462670662;162;173;178,8;183,375;188,25;193,8;204;217,5;NaN
1301;2;1301_2;188,370786516854;20,2705462670662;162;173;178,8;183,375;188,25;193,8;204;217,5;NaN
1301;2;1301_2;188,370786516854;20,2705462670662;162;173;178,8;183,375;188,25;193,8;204;217,5;NaN
1301;2;1301_2;188,370786516854;20,2705462670662;162;173;178,8;183,375;188,25;193,8;204;217,5;NaN
1301;3;1301_3;176,866666666667;22,4014445762125;144;164;168,9;172,8;177,5;183;193,5;205,2;240
1301;3;1301_3;176,866666666667;22,4014445762125;144;164;168,9;172,8;177,5;183;193,5;205,2;240
1301;3;1301_3;176,866666666667;22,4014445762125;144;164;168,9;172,8;177,5;183;193,5;205,2;240
1301;3;1301_3;176,866666666667;22,4014445762125;144;164;168,9;172,8;177,5;183;193,5;205,2;240
1301;4;1301_4;190,142857142857;17,7611132212241;168;175,8;181,2;186,75;193,2;197,625;202,714285714286;211;225
1301;4;1301_4;190,142857142857;17,7611132212241;168;175,8;181,2;186,75;193,2;197,625;202,714285714286;211;225
1301;4;1301_4;190,142857142857;17,7611132212241;168;175,8;181,2;186,75;193,2;197,625;202,714285714286;211;225
1301;4;1301_4;190,142857142857;17,7611132212241;168;175,8;181,2;186,75;193,2;197,625;202,714285714286;211;225
A009;1;A009_1;165,3;31,0688539249603;133,5;141;151,5;163;168,75;172,5;190,5;243;NaN
A009;2;A009_2;132,375;17,8955301681733;113,25;121;123,75;130,5;151,5;161;NaN;NaN;NaN
A010;1;A010_1;165,285714285714;33,7803831493114;127,5;139,5;147,75;153;157,5;174;210,75;219;NaN
A010;2;A010_2;133,666666666667;15,476737762355;118,5;124;130,5;136,5;139,125;141;169,5;NaN;NaN
A011;1;A011_1;157,285714285714;13,6680022576193;130,5;147;154,875;157;160,5;166;168,5;171;214,5
A011;2;A011_2;147,913043478261;30,9455725185046;107,25;114;133,5;140;142,5;154,5;169,5;186;214,5
A012;1;A012_1;159,75;21,6086605444742;127,5;148,2;149,7;159;166,125;168;175,5;210;229,5
A012;2;A012_2;169,434782608696;36,3153186897968;127,5;132;144,75;150;175,5;190,5;196,5;215;229,5
A013;1;A013_1;169,56;33,5647136141514;138,75;142;144,75;147,75;149,625;161;182,25;201;224,25
A013;2;A013_2;163,363636363636;35,2021988687469;125,25;129;136,5;147;160,5;174;211,5;216;224,25
A014;1;A014_1;189,96;28,6799581589653;154,5;170;172,5;177;182,25;187,5;196,5;210;229,5
A014;2;A014_2;169,565217391304;22,0058382479752;137,25;145,5;159,5;162;173,25;177;182,5;192;211,5
A015;1;A015_1;186,272727272727;33,6482955319849;143,25;156;166,5;180;189,75;196,5;217,5;222;208,5
A015;2;A015_2;169,95652173913;23,7706432025065;141,75;145,5;154,5;168;173,5;180;183,75;192;208,5
